img1_path,img2_path,img1_breed,img2_breed,same_breed,label
(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_3.jpg,(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_119.jpg,great_pyrenees,great_pyrenees,True,1
(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_70.jpg,(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_130.jpg,american_pit_bull_terrier,american_pit_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_84.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_49.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_6.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_60.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\havanese\train\havanese_61.jpg,(Preprocessed) breed_organized_with_images\havanese\train\havanese_27.jpg,havanese,havanese,True,1
(Preprocessed) breed_organized_with_images\Birman\train\Birman_142.jpg,(Preprocessed) breed_organized_with_images\Birman\train\Birman_170.jpg,Birman,Birman,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_21.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_53.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_161.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_150.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_173.jpg,(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_35.jpg,japanese_chin,japanese_chin,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_223.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_128.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\basset_hound\train\basset_hound_15.jpg,(Preprocessed) breed_organized_with_images\basset_hound\train\basset_hound_45.jpg,basset_hound,basset_hound,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_11.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_18.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_49.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_2.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\pug\train\pug_129.jpg,(Preprocessed) breed_organized_with_images\pug\train\pug_52.jpg,pug,pug,True,1
(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_75.jpg,(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_191.jpg,japanese_chin,japanese_chin,True,1
(Preprocessed) breed_organized_with_images\havanese\train\havanese_82.jpg,(Preprocessed) breed_organized_with_images\havanese\train\havanese_132.jpg,havanese,havanese,True,1
(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_43.jpg,(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_47.jpg,chihuahua,chihuahua,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_55.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_129.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_171.jpg,(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_80.jpg,Siamese,Siamese,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_75.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_160.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_77.jpg,(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_46.jpg,keeshond,keeshond,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_4.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_8.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_83.jpg,(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_15.jpg,german_shorthaired,german_shorthaired,True,1
(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_67.jpg,(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_110.jpg,Bombay,Bombay,True,1
(Preprocessed) breed_organized_with_images\Birman\train\Birman_125.jpg,(Preprocessed) breed_organized_with_images\Birman\train\Birman_122.jpg,Birman,Birman,True,1
(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_178.jpg,(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_66.jpg,leonberger,leonberger,True,1
(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_67.jpg,(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_61.jpg,american_pit_bull_terrier,american_pit_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_124.jpg,(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_39.jpg,german_shorthaired,german_shorthaired,True,1
(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_88.jpg,(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_64.jpg,samoyed,samoyed,True,1
(Preprocessed) breed_organized_with_images\pug\train\pug_28.jpg,(Preprocessed) breed_organized_with_images\pug\train\pug_26.jpg,pug,pug,True,1
(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_196.jpg,(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_106.jpg,Ragdoll,Ragdoll,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_133.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_27.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_55.jpg,(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_159.jpg,newfoundland,newfoundland,True,1
(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_138.jpg,(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_4.jpg,leonberger,leonberger,True,1
(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_51.jpg,(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_44.jpg,Ragdoll,Ragdoll,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_83.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_195.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\Persian\train\Persian_122.jpg,(Preprocessed) breed_organized_with_images\Persian\train\Persian_107.jpg,Persian,Persian,True,1
(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_146.jpg,(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_152.jpg,Siamese,Siamese,True,1
(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_128.jpg,(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_33.jpg,newfoundland,newfoundland,True,1
(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_166.jpg,(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_61.jpg,keeshond,keeshond,True,1
(Preprocessed) breed_organized_with_images\pug\train\pug_184.jpg,(Preprocessed) breed_organized_with_images\pug\train\pug_85.jpg,pug,pug,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_17.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_34.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\Persian\train\Persian_87.jpg,(Preprocessed) breed_organized_with_images\Persian\train\Persian_60.jpg,Persian,Persian,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_57.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_26.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_199.jpg,(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_45.jpg,great_pyrenees,great_pyrenees,True,1
(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_24.jpg,(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_174.jpg,newfoundland,newfoundland,True,1
(Preprocessed) breed_organized_with_images\Abyssinian\train\Abyssinian_105.jpg,(Preprocessed) breed_organized_with_images\Abyssinian\train\Abyssinian_225.jpg,Abyssinian,Abyssinian,True,1
(Preprocessed) breed_organized_with_images\boxer\train\boxer_55.jpg,(Preprocessed) breed_organized_with_images\boxer\train\boxer_15.jpg,boxer,boxer,True,1
(Preprocessed) breed_organized_with_images\Sphynx\train\Sphynx_112.jpg,(Preprocessed) breed_organized_with_images\Sphynx\train\Sphynx_58.jpg,Sphynx,Sphynx,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_109.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_107.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_83.jpg,(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_128.jpg,english_setter,english_setter,True,1
(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_66.jpg,(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_86.jpg,scottish_terrier,scottish_terrier,True,1
(Preprocessed) breed_organized_with_images\Russian_Blue\train\Russian_Blue_201.jpg,(Preprocessed) breed_organized_with_images\Russian_Blue\train\Russian_Blue_71.jpg,Russian_Blue,Russian_Blue,True,1
(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_136.jpg,(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_169.jpg,Siamese,Siamese,True,1
(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_97.jpg,(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_147.jpg,shiba_inu,shiba_inu,True,1
(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_20.jpg,(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_134.jpg,german_shorthaired,german_shorthaired,True,1
(Preprocessed) breed_organized_with_images\Persian\train\Persian_67.jpg,(Preprocessed) breed_organized_with_images\Persian\train\Persian_145.jpg,Persian,Persian,True,1
(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_172.jpg,(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_149.jpg,english_setter,english_setter,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_107.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_63.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_118.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_154.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_14.jpg,(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_66.jpg,samoyed,samoyed,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_72.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_28.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_132.jpg,(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_185.jpg,Ragdoll,Ragdoll,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_180.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_27.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_109.jpg,(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_61.jpg,shiba_inu,shiba_inu,True,1
(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_66.jpg,(Preprocessed) breed_organized_with_images\newfoundland\train\newfoundland_57.jpg,newfoundland,newfoundland,True,1
(Preprocessed) breed_organized_with_images\american_bulldog\train\american_bulldog_15.jpg,(Preprocessed) breed_organized_with_images\american_bulldog\train\american_bulldog_44.jpg,american_bulldog,american_bulldog,True,1
(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_132.jpg,(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_39.jpg,leonberger,leonberger,True,1
(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_10.jpg,(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_2.jpg,japanese_chin,japanese_chin,True,1
(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_78.jpg,(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_129.jpg,shiba_inu,shiba_inu,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_4.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_66.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_134.jpg,(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_140.jpg,great_pyrenees,great_pyrenees,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_148.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_140.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\basset_hound\train\basset_hound_146.jpg,(Preprocessed) breed_organized_with_images\basset_hound\train\basset_hound_62.jpg,basset_hound,basset_hound,True,1
(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_67.jpg,(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_198.jpg,Bombay,Bombay,True,1
(Preprocessed) breed_organized_with_images\Birman\train\Birman_17.jpg,(Preprocessed) breed_organized_with_images\Birman\train\Birman_22.jpg,Birman,Birman,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_49.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_185.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_132.jpg,(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_20.jpg,chihuahua,chihuahua,True,1
(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_158.jpg,(Preprocessed) breed_organized_with_images\american_pit_bull_terrier\train\american_pit_bull_terrier_104.jpg,american_pit_bull_terrier,american_pit_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_173.jpg,(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_174.jpg,yorkshire_terrier,yorkshire_terrier,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_15.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_178.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\miniature_pinscher\train\miniature_pinscher_35.jpg,(Preprocessed) breed_organized_with_images\miniature_pinscher\train\miniature_pinscher_84.jpg,miniature_pinscher,miniature_pinscher,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_135.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_58.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\havanese\train\havanese_92.jpg,(Preprocessed) breed_organized_with_images\havanese\train\havanese_139.jpg,havanese,havanese,True,1
(Preprocessed) breed_organized_with_images\pug\train\pug_181.jpg,(Preprocessed) breed_organized_with_images\pug\train\pug_143.jpg,pug,pug,True,1
(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_160.jpg,(Preprocessed) breed_organized_with_images\Bombay\train\Bombay_70.jpg,Bombay,Bombay,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_158.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_245.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_135.jpg,(Preprocessed) breed_organized_with_images\great_pyrenees\train\great_pyrenees_17.jpg,great_pyrenees,great_pyrenees,True,1
(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_208.jpg,(Preprocessed) breed_organized_with_images\Maine_Coon\train\Maine_Coon_271.jpg,Maine_Coon,Maine_Coon,True,1
(Preprocessed) breed_organized_with_images\american_bulldog\train\american_bulldog_133.jpg,(Preprocessed) breed_organized_with_images\american_bulldog\train\american_bulldog_77.jpg,american_bulldog,american_bulldog,True,1
(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_92.jpg,(Preprocessed) breed_organized_with_images\Ragdoll\train\Ragdoll_73.jpg,Ragdoll,Ragdoll,True,1
(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_157.jpg,(Preprocessed) breed_organized_with_images\chihuahua\train\chihuahua_185.jpg,chihuahua,chihuahua,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_10.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_126.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_84.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_81.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_37.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_124.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_83.jpg,(Preprocessed) breed_organized_with_images\Egyptian_Mau\train\Egyptian_Mau_194.jpg,Egyptian_Mau,Egyptian_Mau,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_184.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_141.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_199.jpg,(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_124.jpg,samoyed,samoyed,True,1
(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_2.jpg,(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_149.jpg,leonberger,leonberger,True,1
(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_180.jpg,(Preprocessed) breed_organized_with_images\Siamese\train\Siamese_59.jpg,Siamese,Siamese,True,1
(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_39.jpg,(Preprocessed) breed_organized_with_images\keeshond\train\keeshond_46.jpg,keeshond,keeshond,True,1
(Preprocessed) breed_organized_with_images\pug\train\pug_86.jpg,(Preprocessed) breed_organized_with_images\pug\train\pug_92.jpg,pug,pug,True,1
(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_127.jpg,(Preprocessed) breed_organized_with_images\wheaten_terrier\train\wheaten_terrier_154.jpg,wheaten_terrier,wheaten_terrier,True,1
(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_119.jpg,(Preprocessed) breed_organized_with_images\samoyed\train\samoyed_35.jpg,samoyed,samoyed,True,1
(Preprocessed) breed_organized_with_images\english_cocker_spaniel\train\english_cocker_spaniel_66.jpg,(Preprocessed) breed_organized_with_images\english_cocker_spaniel\train\english_cocker_spaniel_92.jpg,english_cocker_spaniel,english_cocker_spaniel,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_163.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_8.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_149.jpg,(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_81.jpg,german_shorthaired,german_shorthaired,True,1
(Preprocessed) breed_organized_with_images\saint_bernard\train\saint_bernard_108.jpg,(Preprocessed) breed_organized_with_images\saint_bernard\train\saint_bernard_97.jpg,saint_bernard,saint_bernard,True,1
(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_75.jpg,(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_152.jpg,shiba_inu,shiba_inu,True,1
(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_36.jpg,(Preprocessed) breed_organized_with_images\scottish_terrier\train\scottish_terrier_48.jpg,scottish_terrier,scottish_terrier,True,1
(Preprocessed) breed_organized_with_images\Sphynx\train\Sphynx_55.jpg,(Preprocessed) breed_organized_with_images\Sphynx\train\Sphynx_92.jpg,Sphynx,Sphynx,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_100.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_195.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\beagle\train\beagle_203.jpg,(Preprocessed) breed_organized_with_images\beagle\train\beagle_130.jpg,beagle,beagle,True,1
(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_185.jpg,(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_60.jpg,yorkshire_terrier,yorkshire_terrier,True,1
(Preprocessed) breed_organized_with_images\Birman\train\Birman_155.jpg,(Preprocessed) breed_organized_with_images\Birman\train\Birman_175.jpg,Birman,Birman,True,1
(Preprocessed) breed_organized_with_images\miniature_pinscher\train\miniature_pinscher_127.jpg,(Preprocessed) breed_organized_with_images\miniature_pinscher\train\miniature_pinscher_60.jpg,miniature_pinscher,miniature_pinscher,True,1
(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_59.jpg,(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_122.jpg,yorkshire_terrier,yorkshire_terrier,True,1
(Preprocessed) breed_organized_with_images\boxer\train\boxer_74.jpg,(Preprocessed) breed_organized_with_images\boxer\train\boxer_100.jpg,boxer,boxer,True,1
(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_172.jpg,(Preprocessed) breed_organized_with_images\german_shorthaired\train\german_shorthaired_27.jpg,german_shorthaired,german_shorthaired,True,1
(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_104.jpg,(Preprocessed) breed_organized_with_images\leonberger\train\leonberger_132.jpg,leonberger,leonberger,True,1
(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_170.jpg,(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_122.jpg,english_setter,english_setter,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_278.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_183.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_84.jpg,(Preprocessed) breed_organized_with_images\yorkshire_terrier\train\yorkshire_terrier_62.jpg,yorkshire_terrier,yorkshire_terrier,True,1
(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_42.jpg,(Preprocessed) breed_organized_with_images\staffordshire_bull_terrier\train\staffordshire_bull_terrier_112.jpg,staffordshire_bull_terrier,staffordshire_bull_terrier,True,1
(Preprocessed) breed_organized_with_images\boxer\train\boxer_118.jpg,(Preprocessed) breed_organized_with_images\boxer\train\boxer_138.jpg,boxer,boxer,True,1
(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_106.jpg,(Preprocessed) breed_organized_with_images\British_Shorthair\train\British_Shorthair_201.jpg,British_Shorthair,British_Shorthair,True,1
(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_86.jpg,(Preprocessed) breed_organized_with_images\japanese_chin\train\japanese_chin_75.jpg,japanese_chin,japanese_chin,True,1
(Preprocessed) breed_organized_with_images\pomeranian\train\pomeranian_53.jpg,(Preprocessed) breed_organized_with_images\pomeranian\train\pomeranian_158.jpg,pomeranian,pomeranian,True,1
(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_37.jpg,(Preprocessed) breed_organized_with_images\english_setter\train\english_setter_125.jpg,english_setter,english_setter,True,1
(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_34.jpg,(Preprocessed) breed_organized_with_images\shiba_inu\train\shiba_inu_132.jpg,shiba_inu,shiba_inu,True,1
